Pot ID,Plant ID,Initial Weights,Water treatment assignment,Treatment,Day 5 Weight,Mold?,Smell test intended order,Smell test actual order,Average Score,Weight Delta
4,1,6,0,T4,5,No,4,4,1.0333333333333334,-1.0
4,2,8,0,T4,5.5,No,1,1,2.3333333333333335,-2.5
4,3,9.5,1,T3,8,No,23,23,4.383333333333333,-1.5
4,4,7,0,T4,6,No,15,15,2.6333333333333333,-1.0
4,5,6,1,T3,6,Yes,8,8,4.260000000000001,0.0
4,6,6,1,T3,6,Yes,6,6,2.9,0.0
4,7,6,1,T3,6,Yes,17,5,1.5666666666666667,0.0
4,8,7,0,T4,5,No,5,17,0.93,-2.0
5,1,7.5,1,T3,6,Yes,19,19,2.853333333333333,-1.5
5,2,9,1,T3,8,No,9,9,4.583333333333333,-1.0
5,3,9,0,T4,6,No,14,14,3.1666666666666665,-3.0
5,4,7.5,1,T3,7,No,18,18,3.58,-0.5
5,5,7,0,T4,5.5,No,21,21,1.1366666666666667,-1.5
5,6,6,1,T3,6,No,16,16,1.9533333333333331,0.0
5,7,6,0,T4,5,No,2,2,1.45,-1.0
5,8,6.5,0,T4,5,No,10,10,1.1933333333333334,-1.5
6,1,7,1,T3,7,No,20,20,4.34,0.0
6,2,7,0,T4,5,No,24,24,1.37,-2.0
6,3,8,0,T4,5.5,No,12,12,1.05,-2.5
6,4,6.5,1,T3,6,No,3,3,4.33,-0.5
6,5,6.5,1,T3,6,Yes,13,13,1.3099999999999998,-0.5
6,6,6,1,T3,6,No,11,11,4.023333333333333,0.0
6,7,6.5,0,T4,5,No,7,7,1.1366666666666665,-1.5
6,8,6,0,T4,5,No,22,22,0.9333333333333332,-1.0
